non_shiftable_load,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3,electricity_pricing_predicted_1,electricity_pricing_predicted_2,electricity_pricing_predicted_3,hour,day_type,electricity_pricing,outdoor_dry_bulb_temperature,solar_generation,carbon_intensity,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,month
2.18875,18.3,22.8,20.0,81.0,68.0,81.0,25.0,683.0,0.0,100.0,815.0,0.0,0.22,0.22,0.22,24,7,0.22,20.0,0.0,0.1707244,84.0,0.0,0.0,7
1.3706666,19.4,22.8,19.4,79.0,71.0,87.0,201.0,683.0,0.0,444.0,747.0,0.0,0.22,0.22,0.22,1,1,0.22,20.1,0.0,0.15731905,79.0,0.0,0.0,8
1.10125,21.1,22.2,19.4,73.0,73.0,87.0,420.0,683.0,0.0,592.0,291.0,0.0,0.22,0.22,0.22,2,1,0.22,19.7,0.0,0.15450256,78.0,0.0,0.0,8
0.54321665,22.2,22.8,19.4,71.0,71.0,90.0,554.0,522.0,0.0,491.0,153.0,0.0,0.22,0.22,0.22,3,1,0.22,19.3,0.0,0.15094487,78.0,0.0,0.0,8
0.5428333,21.7,22.2,18.9,73.0,71.0,90.0,778.0,444.0,0.0,734.0,174.0,0.0,0.22,0.22,0.22,4,1,0.22,18.9,0.0,0.15181987,78.0,0.0,0.0,8
1.5124333,22.2,21.1,18.3,71.0,76.0,93.0,903.0,392.0,0.0,811.0,396.0,0.0,0.22,0.22,0.22,5,1,0.22,18.3,0.0,0.15808822,81.0,0.0,0.0,8
0.34868333,22.8,20.6,18.9,68.0,78.0,90.0,829.6666666666666,231.0,15.0,815.0,320.0,14.0,0.22,0.22,0.22,6,1,0.22,18.3,5.608333,0.16193937,81.0,25.0,100.0,8
0.67861664,22.8,20.6,20.0,71.0,73.0,87.0,756.3333333333334,27.0,116.0,747.0,143.0,42.0,0.22,0.22,0.22,7,1,0.22,19.4,29.5,0.16434596,79.0,201.0,444.0,8
1.5065,22.2,20.0,20.0,73.0,76.0,87.0,683.0,0.0,252.0,291.0,0.0,74.0,0.22,0.22,0.22,8,1,0.22,21.1,96.754166,0.19099815,73.0,420.0,592.0,8
1.6521167,22.8,20.6,20.0,71.0,70.0,84.0,522.0,0.0,292.0,153.0,0.0,35.0,0.22,0.22,0.22,9,1,0.22,22.2,225.45416,0.20289886,71.0,554.0,491.0,8
